company_name,role,skills_required,salary_package,domain
VisionTech,DevOps Intern,"Linux, Docker, CI/CD",14k INR/month,DevOps
Webify Solutions,Data Analyst Intern,"Python, Excel, Data Visualization",29k INR/month,Data Science
IoT Systems,Data Analyst Intern,"Data Visualization, Python, SQL",37k INR/month,Data Science
IoT Systems,Computer Vision Intern,"OpenCV, Deep Learning, Python",30k INR/month,Computer Vision
DataSphere,Cybersecurity Intern,"Linux, Networking, Firewalls",15k INR/month,Cybersecurity
BlockChainX,Blockchain Developer Intern,"Smart Contracts, Solidity, Ethereum",28k INR/month,Blockchain
CloudWorks,Web Developer Intern,"CSS, HTML, React",16k INR/month,Web Development
NetSecure,Data Analyst Intern,"Excel, SQL, Data Visualization",34k INR/month,Data Science
VisionTech,Blockchain Developer Intern,"Ethereum, Cryptography, Solidity",22k INR/month,Blockchain
CloudWorks,Network Engineer Intern,"Wireshark, Linux, Networking Protocols",29k INR/month,Networking
DataSphere,Cloud Engineer Intern,"AWS, Azure, Kubernetes",44k INR/month,Cloud Computing
IoT Systems,AI Research Intern,"Python, Machine Learning, TensorFlow",40k INR/month,Artificial Intelligence
IoT Systems,Data Analyst Intern,"SQL, Python, Excel",30k INR/month,Data Science
AI Labs,Cloud Engineer Intern,"Kubernetes, AWS, Docker",30k INR/month,Cloud Computing
CyberEdge,AI Research Intern,"TensorFlow, Machine Learning, PyTorch",38k INR/month,Artificial Intelligence
CyberEdge,Cloud Engineer Intern,"Azure, Kubernetes, AWS",35k INR/month,Cloud Computing
NetSecure,Software Engineering Intern,"Java, Agile, OOP",14k INR/month,Software Engineering
DataSphere,AI Research Intern,"Python, Machine Learning, PyTorch",40k INR/month,Artificial Intelligence
CloudWorks,Web Developer Intern,"HTML, React, CSS",13k INR/month,Web Development
CloudWorks,Network Engineer Intern,"Networking Protocols, Linux, Wireshark",24k INR/month,Networking
TechNova,Network Engineer Intern,"Networking Protocols, Cisco, Linux",24k INR/month,Networking
NetSecure,Cybersecurity Intern,"Networking, Linux, Penetration Testing",35k INR/month,Cybersecurity
CloudWorks,Software Engineering Intern,"C++, Agile, OOP",46k INR/month,Software Engineering
AI Labs,Data Analyst Intern,"SQL, Python, Data Visualization",33k INR/month,Data Science
TechNova,Cloud Engineer Intern,"Docker, Azure, Kubernetes",26k INR/month,Cloud Computing
DataSphere,IoT Developer Intern,"Raspberry Pi, C++, Embedded Systems",38k INR/month,Internet of Things
AI Labs,Cloud Engineer Intern,"Kubernetes, Azure, AWS",36k INR/month,Cloud Computing
CloudWorks,Cloud Engineer Intern,"Azure, Kubernetes, Docker",50k INR/month,Cloud Computing
NetSecure,Data Analyst Intern,"SQL, Excel, Python",40k INR/month,Data Science
IoT Systems,IoT Developer Intern,"C++, Embedded Systems, Arduino",21k INR/month,Internet of Things
BlockChainX,Network Engineer Intern,"Cisco, Networking Protocols, Wireshark",15k INR/month,Networking
Webify Solutions,AI Research Intern,"PyTorch, Python, TensorFlow",45k INR/month,Artificial Intelligence
CloudWorks,IoT Developer Intern,"Raspberry Pi, Arduino, C++",26k INR/month,Internet of Things
CyberEdge,DevOps Intern,"Linux, Kubernetes, Docker",19k INR/month,DevOps
BlockChainX,Computer Vision Intern,"Deep Learning, Image Processing, OpenCV",42k INR/month,Computer Vision
CyberEdge,Blockchain Developer Intern,"Smart Contracts, Ethereum, Cryptography",29k INR/month,Blockchain
Webify Solutions,IoT Developer Intern,"Arduino, Embedded Systems, Raspberry Pi",36k INR/month,Internet of Things
AI Labs,DevOps Intern,"Docker, CI/CD, Linux",14k INR/month,DevOps
TechNova,IoT Developer Intern,"C++, Embedded Systems, Arduino",29k INR/month,Internet of Things
TechNova,Blockchain Developer Intern,"Cryptography, Solidity, Smart Contracts",45k INR/month,Blockchain
AI Labs,Web Developer Intern,"React, JavaScript, CSS",27k INR/month,Web Development
CloudWorks,AI Research Intern,"TensorFlow, Python, PyTorch",35k INR/month,Artificial Intelligence
TechNova,Software Engineering Intern,"Agile, C++, OOP",32k INR/month,Software Engineering
BlockChainX,Cybersecurity Intern,"Penetration Testing, Networking, Linux",15k INR/month,Cybersecurity
NetSecure,Cybersecurity Intern,"Linux, Penetration Testing, Networking",44k INR/month,Cybersecurity
CyberEdge,Computer Vision Intern,"OpenCV, Deep Learning, Image Processing",50k INR/month,Computer Vision
VisionTech,IoT Developer Intern,"C++, Raspberry Pi, Arduino",28k INR/month,Internet of Things
CloudWorks,IoT Developer Intern,"C++, Raspberry Pi, Arduino",32k INR/month,Internet of Things
AI Labs,Data Analyst Intern,"SQL, Data Visualization, Excel",40k INR/month,Data Science
NetSecure,Network Engineer Intern,"Linux, Cisco, Wireshark",32k INR/month,Networking
DataSphere,Data Analyst Intern,"SQL, Python, Excel",11k INR/month,Data Science
CyberEdge,Software Engineering Intern,"OOP, C++, Java",48k INR/month,Software Engineering
VisionTech,IoT Developer Intern,"C++, Embedded Systems, Arduino",39k INR/month,Internet of Things
CyberEdge,Cloud Engineer Intern,"Azure, Kubernetes, AWS",32k INR/month,Cloud Computing
NetSecure,Blockchain Developer Intern,"Solidity, Cryptography, Smart Contracts",25k INR/month,Blockchain
Webify Solutions,Cloud Engineer Intern,"Docker, AWS, Kubernetes",47k INR/month,Cloud Computing
BlockChainX,Network Engineer Intern,"Linux, Networking Protocols, Cisco",22k INR/month,Networking
AI Labs,Web Developer Intern,"JavaScript, HTML, React",26k INR/month,Web Development
BlockChainX,Web Developer Intern,"JavaScript, HTML, CSS",25k INR/month,Web Development
Webify Solutions,Web Developer Intern,"CSS, HTML, JavaScript",26k INR/month,Web Development
IoT Systems,Software Engineering Intern,"Java, Agile, C++",47k INR/month,Software Engineering
IoT Systems,Cloud Engineer Intern,"AWS, Docker, Kubernetes",26k INR/month,Cloud Computing
TechNova,Blockchain Developer Intern,"Cryptography, Solidity, Ethereum",43k INR/month,Blockchain
VisionTech,Cloud Engineer Intern,"AWS, Docker, Kubernetes",44k INR/month,Cloud Computing
AI Labs,Software Engineering Intern,"Java, Agile, OOP",38k INR/month,Software Engineering
CloudWorks,Web Developer Intern,"JavaScript, HTML, CSS",27k INR/month,Web Development
NetSecure,Network Engineer Intern,"Networking Protocols, Linux, Cisco",23k INR/month,Networking
NetSecure,Cloud Engineer Intern,"Kubernetes, AWS, Docker",16k INR/month,Cloud Computing
DataSphere,Computer Vision Intern,"Python, Image Processing, OpenCV",43k INR/month,Computer Vision
NetSecure,Data Analyst Intern,"Excel, Python, SQL",37k INR/month,Data Science
BlockChainX,Cybersecurity Intern,"Networking, Firewalls, Penetration Testing",45k INR/month,Cybersecurity
TechNova,DevOps Intern,"CI/CD, Kubernetes, Linux",29k INR/month,DevOps
TechNova,AI Research Intern,"Machine Learning, TensorFlow, Python",24k INR/month,Artificial Intelligence
CyberEdge,Web Developer Intern,"React, CSS, HTML",18k INR/month,Web Development
CyberEdge,Blockchain Developer Intern,"Cryptography, Solidity, Smart Contracts",44k INR/month,Blockchain
VisionTech,Cloud Engineer Intern,"Docker, Kubernetes, AWS",27k INR/month,Cloud Computing
AI Labs,Blockchain Developer Intern,"Smart Contracts, Ethereum, Solidity",21k INR/month,Blockchain
Webify Solutions,AI Research Intern,"TensorFlow, Python, PyTorch",27k INR/month,Artificial Intelligence
DataSphere,Network Engineer Intern,"Linux, Wireshark, Cisco",34k INR/month,Networking
NetSecure,AI Research Intern,"Machine Learning, Python, TensorFlow",21k INR/month,Artificial Intelligence
AI Labs,IoT Developer Intern,"C++, Arduino, Embedded Systems",44k INR/month,Internet of Things
NetSecure,AI Research Intern,"PyTorch, Python, TensorFlow",41k INR/month,Artificial Intelligence
AI Labs,AI Research Intern,"Python, Machine Learning, PyTorch",11k INR/month,Artificial Intelligence
CloudWorks,Software Engineering Intern,"Java, OOP, Agile",24k INR/month,Software Engineering
IoT Systems,Computer Vision Intern,"OpenCV, Image Processing, Deep Learning",35k INR/month,Computer Vision
Webify Solutions,Data Analyst Intern,"Python, SQL, Excel",34k INR/month,Data Science
IoT Systems,Network Engineer Intern,"Linux, Networking Protocols, Wireshark",50k INR/month,Networking
NetSecure,Data Analyst Intern,"Python, Data Visualization, Excel",18k INR/month,Data Science
BlockChainX,Computer Vision Intern,"Deep Learning, Image Processing, OpenCV",41k INR/month,Computer Vision
VisionTech,Blockchain Developer Intern,"Solidity, Smart Contracts, Cryptography",23k INR/month,Blockchain
DataSphere,Data Analyst Intern,"Excel, SQL, Data Visualization",49k INR/month,Data Science
AI Labs,Cybersecurity Intern,"Networking, Firewalls, Penetration Testing",35k INR/month,Cybersecurity
AI Labs,Software Engineering Intern,"Java, OOP, Agile",45k INR/month,Software Engineering
AI Labs,IoT Developer Intern,"C++, Raspberry Pi, Arduino",17k INR/month,Internet of Things
BlockChainX,Cloud Engineer Intern,"Docker, Kubernetes, AWS",19k INR/month,Cloud Computing
AI Labs,Network Engineer Intern,"Networking Protocols, Wireshark, Linux",12k INR/month,Networking
TechNova,AI Research Intern,"Python, PyTorch, TensorFlow",43k INR/month,Artificial Intelligence
CloudWorks,Cybersecurity Intern,"Firewalls, Penetration Testing, Networking",32k INR/month,Cybersecurity
TechNova,Data Analyst Intern,"Data Visualization, Python, SQL",11k INR/month,Data Science
CyberEdge,IoT Developer Intern,"Embedded Systems, Raspberry Pi, C++",17k INR/month,Internet of Things
TechNova,Web Developer Intern,"HTML, React, JavaScript",30k INR/month,Web Development
BlockChainX,Computer Vision Intern,"Python, OpenCV, Deep Learning",50k INR/month,Computer Vision
VisionTech,Blockchain Developer Intern,"Smart Contracts, Ethereum, Solidity",40k INR/month,Blockchain
VisionTech,Cybersecurity Intern,"Networking, Firewalls, Linux",17k INR/month,Cybersecurity
CyberEdge,Software Engineering Intern,"OOP, C++, Agile",37k INR/month,Software Engineering
VisionTech,Data Analyst Intern,"Data Visualization, Python, SQL",17k INR/month,Data Science
AI Labs,Blockchain Developer Intern,"Cryptography, Smart Contracts, Solidity",46k INR/month,Blockchain
Webify Solutions,Computer Vision Intern,"OpenCV, Deep Learning, Python",12k INR/month,Computer Vision
IoT Systems,DevOps Intern,"CI/CD, Kubernetes, Docker",22k INR/month,DevOps
BlockChainX,Network Engineer Intern,"Cisco, Wireshark, Linux",31k INR/month,Networking
IoT Systems,Network Engineer Intern,"Cisco, Linux, Networking Protocols",41k INR/month,Networking
DataSphere,Web Developer Intern,"HTML, CSS, React",13k INR/month,Web Development
NetSecure,Cybersecurity Intern,"Networking, Firewalls, Penetration Testing",40k INR/month,Cybersecurity
CloudWorks,Software Engineering Intern,"Agile, C++, OOP",14k INR/month,Software Engineering
CyberEdge,Computer Vision Intern,"Image Processing, Deep Learning, OpenCV",26k INR/month,Computer Vision
DataSphere,Network Engineer Intern,"Cisco, Linux, Networking Protocols",47k INR/month,Networking
CyberEdge,Data Analyst Intern,"Data Visualization, SQL, Python",20k INR/month,Data Science
BlockChainX,Cybersecurity Intern,"Networking, Penetration Testing, Linux",43k INR/month,Cybersecurity
CyberEdge,DevOps Intern,"Linux, Kubernetes, Docker",10k INR/month,DevOps
AI Labs,AI Research Intern,"TensorFlow, PyTorch, Machine Learning",33k INR/month,Artificial Intelligence
AI Labs,AI Research Intern,"PyTorch, TensorFlow, Machine Learning",44k INR/month,Artificial Intelligence
CloudWorks,Cybersecurity Intern,"Firewalls, Networking, Linux",12k INR/month,Cybersecurity
BlockChainX,Network Engineer Intern,"Wireshark, Linux, Cisco",40k INR/month,Networking
CyberEdge,Computer Vision Intern,"Image Processing, Deep Learning, OpenCV",14k INR/month,Computer Vision
IoT Systems,Cybersecurity Intern,"Linux, Penetration Testing, Networking",41k INR/month,Cybersecurity
NetSecure,Network Engineer Intern,"Linux, Networking Protocols, Cisco",50k INR/month,Networking
DataSphere,Data Analyst Intern,"Python, Data Visualization, Excel",27k INR/month,Data Science
BlockChainX,DevOps Intern,"Linux, Docker, Kubernetes",44k INR/month,DevOps
NetSecure,Blockchain Developer Intern,"Smart Contracts, Cryptography, Ethereum",29k INR/month,Blockchain
Webify Solutions,AI Research Intern,"Python, PyTorch, Machine Learning",40k INR/month,Artificial Intelligence
DataSphere,Data Analyst Intern,"SQL, Python, Excel",29k INR/month,Data Science
CyberEdge,Data Analyst Intern,"Python, Data Visualization, Excel",39k INR/month,Data Science
BlockChainX,Network Engineer Intern,"Linux, Wireshark, Cisco",28k INR/month,Networking
DataSphere,Computer Vision Intern,"Python, OpenCV, Deep Learning",13k INR/month,Computer Vision
VisionTech,Cloud Engineer Intern,"Docker, Kubernetes, AWS",40k INR/month,Cloud Computing
TechNova,Software Engineering Intern,"Java, Agile, OOP",20k INR/month,Software Engineering
CyberEdge,Web Developer Intern,"React, JavaScript, HTML",29k INR/month,Web Development
TechNova,Software Engineering Intern,"C++, OOP, Java",29k INR/month,Software Engineering
Webify Solutions,Network Engineer Intern,"Wireshark, Networking Protocols, Cisco",45k INR/month,Networking
AI Labs,Cybersecurity Intern,"Penetration Testing, Firewalls, Linux",13k INR/month,Cybersecurity
BlockChainX,Software Engineering Intern,"C++, Agile, OOP",46k INR/month,Software Engineering
CloudWorks,IoT Developer Intern,"Embedded Systems, C++, Raspberry Pi",44k INR/month,Internet of Things
IoT Systems,AI Research Intern,"Machine Learning, PyTorch, TensorFlow",49k INR/month,Artificial Intelligence
CloudWorks,Cybersecurity Intern,"Firewalls, Penetration Testing, Networking",35k INR/month,Cybersecurity
AI Labs,Cloud Engineer Intern,"Kubernetes, Azure, AWS",37k INR/month,Cloud Computing
CyberEdge,Software Engineering Intern,"Agile, OOP, C++",21k INR/month,Software Engineering
IoT Systems,Software Engineering Intern,"OOP, Java, Agile",25k INR/month,Software Engineering
CyberEdge,Blockchain Developer Intern,"Ethereum, Smart Contracts, Solidity",33k INR/month,Blockchain
VisionTech,DevOps Intern,"Kubernetes, Docker, Linux",34k INR/month,DevOps
AI Labs,IoT Developer Intern,"Embedded Systems, Arduino, Raspberry Pi",26k INR/month,Internet of Things
NetSecure,IoT Developer Intern,"C++, Arduino, Raspberry Pi",29k INR/month,Internet of Things
IoT Systems,Network Engineer Intern,"Networking Protocols, Cisco, Wireshark",20k INR/month,Networking
CyberEdge,Computer Vision Intern,"Deep Learning, Python, Image Processing",33k INR/month,Computer Vision
